X,Y,Z,S,I_Raw,I_Pro,I_DoG,N,Gain,X_in_px,Y_in_px,Z_in_px,X_um,Y_um,Z_um,X_abs_out_px,Y_abs_out_px,Z_abs_out_px,X_abs_in_px,Y_abs_in_px,Z_abs_in_px,X_abs_um,Y_abs_um,Z_abs_um,S_um,X_ref_in_px,Y_ref_in_px,Z_ref_in_px,X_ref_out_px,Y_ref_out_px,Z_ref_out_px,ID
58.0,35.0,56.0,3.0,32677.0,15858.411304235306,7039.529498089092,2.0,-0.3851386411677245,258,156,56,116.0,70.0,112.0,58.0,103.0,56.0,258,458,56,116.0,206.0,112.0,6.0,0,302,0,0,68,0,285
47.0,51.0,36.0,3.0,29066.0,12247.411304235306,6906.656425329694,2.0,-0.2788313664915136,209,227,36,94.0,102.0,72.0,47.0,119.0,36.0,209,529,36,94.0,238.0,72.0,6.0,0,302,0,0,68,0,286
63.0,28.0,47.0,3.0,26760.0,9941.411304235306,6214.316307194673,2.0,-0.2306980587122401,280,124,47,126.0,56.0,94.0,63.0,96.0,47.0,280,426,47,126.0,192.0,94.0,6.0,0,302,0,0,68,0,287
36.0,12.0,28.0,3.0,22832.0,6013.411304235306,5516.7156592323245,4.0,-0.0430780724771483,160,53,28,72.0,24.0,56.0,36.0,80.0,28.0,160,355,28,72.0,160.0,56.0,6.0,0,302,0,0,68,0,288
58.0,8.0,22.0,3.0,23192.0,6373.411304235306,4290.741027629334,2.0,-0.1952963734757354,258,36,22,116.0,16.0,44.0,58.0,76.0,22.0,258,338,22,116.0,152.0,44.0,6.0,0,302,0,0,68,0,289
13.0,37.0,61.0,3.0,20123.0,3304.4113042353056,2256.868896773803,2.0,-0.1883635367395124,58,164,61,26.0,74.0,122.0,13.0,105.0,61.0,58,466,61,26.0,210.0,122.0,6.0,0,302,0,0,68,0,290
58.0,56.0,4.0,3.0,19270.0,2451.4113042353056,2217.5306780383567,2.0,-0.0500928533883932,258,249,4,116.0,112.0,8.0,58.0,124.0,4.0,258,551,4,116.0,248.0,8.0,6.0,0,302,0,0,68,0,291
44.0,4.0,58.0,4.0,46469.0,29650.411304235306,25749.4743897996,3.0,-0.0704141690107445,196,18,58,88.0,8.0,116.0,44.0,72.0,58.0,196,320,58,88.0,144.0,116.0,8.0,0,302,0,0,68,0,292
9.0,19.0,60.0,4.0,44235.0,27416.411304235306,25133.670780208176,7.0,-0.04343933317476,40,84,60,18.0,38.0,120.0,9.0,87.0,60.0,40,386,60,18.0,174.0,120.0,8.0,0,302,0,0,68,0,293
62.0,17.0,13.0,4.0,44279.0,27460.411304235306,24811.408073028048,4.0,-0.0506774637417631,276,76,13,124.0,34.0,26.0,62.0,85.0,13.0,276,378,13,124.0,170.0,26.0,8.0,0,302,0,0,68,0,294
24.0,12.0,48.0,4.0,35447.0,18628.411304235306,14633.933756597902,4.0,-0.1200900760403976,107,53,48,48.0,24.0,96.0,24.0,80.0,48.0,107,355,48,48.0,160.0,96.0,8.0,0,302,0,0,68,0,295
54.0,8.0,8.0,4.0,30252.0,13433.411304235306,13295.014508169224,4.0,-0.005177888029674,240,36,8,108.0,16.0,16.0,54.0,76.0,8.0,240,338,8,108.0,152.0,16.0,8.0,0,302,0,0,68,0,296
30.0,9.0,55.0,4.0,27764.0,10945.411304235306,9274.426340027969,3.0,-0.0826408695067552,133,40,55,60.0,18.0,110.0,30.0,77.0,55.0,133,342,55,60.0,154.0,110.0,8.0,0,302,0,0,68,0,297
52.0,45.0,27.0,4.0,25834.0,9015.411304235306,7367.161858331785,3.0,-0.1006099243108917,231,200,27,104.0,90.0,54.0,52.0,113.0,27.0,231,502,27,104.0,226.0,54.0,8.0,0,302,0,0,68,0,298
61.0,18.0,47.0,4.0,29708.0,12889.411304235306,6770.508809472132,3.0,-0.3112374037825772,271,80,47,122.0,36.0,94.0,61.0,86.0,47.0,271,382,47,122.0,172.0,94.0,8.0,0,302,0,0,68,0,299
43.0,22.0,61.0,5.0,47061.0,30242.411304235306,25202.75086617865,4.0,-0.0908945026180455,191,98,61,86.0,44.0,122.0,43.0,90.0,61.0,191,400,61,86.0,180.0,122.0,10.0,0,302,0,0,68,0,300
