X,Y,Z,S,I_Raw,I_Pro,I_DoG,N,Gain,X_in_px,Y_in_px,Z_in_px,X_um,Y_um,Z_um,X_abs_out_px,Y_abs_out_px,Z_abs_out_px,X_abs_in_px,Y_abs_in_px,Z_abs_in_px,X_abs_um,Y_abs_um,Z_abs_um,S_um,X_ref_in_px,Y_ref_in_px,Z_ref_in_px,X_ref_out_px,Y_ref_out_px,Z_ref_out_px,ID
29.0,41.0,26.0,2.0,30300.0,11880.972043427464,6750.537422234616,2.0,-0.27536333707412447,129,182,26,58.0,82.0,52.0,97.0,41.0,26.0,431,182,26,194.0,82.0,52.0,4.0,302,0,0,68,0,0,330
49.0,47.0,6.0,2.0,37283.0,18863.972043427464,6371.623538199687,1.0,-0.4950288755745819,218,209,6,98.0,94.0,12.0,117.0,47.0,6.0,520,209,6,234.0,94.0,12.0,4.0,302,0,0,68,0,0,331
49.0,52.0,6.0,2.0,40018.0,21598.972043427464,6316.548920672119,1.0,-0.5474525495121199,218,231,6,98.0,104.0,12.0,117.0,52.0,6.0,520,231,6,234.0,104.0,12.0,4.0,302,0,0,68,0,0,332
16.0,23.0,4.0,2.0,31410.0,12990.972043427464,6285.005256571677,1.0,-0.34789244054858304,71,102,4,32.0,46.0,8.0,84.0,23.0,4.0,373,102,4,168.0,46.0,8.0,4.0,302,0,0,68,0,0,333
28.0,63.0,17.0,2.0,35440.0,17020.972043427464,6267.611173123713,1.0,-0.4617438841303727,124,280,17,56.0,126.0,34.0,96.0,63.0,17.0,426,280,17,192.0,126.0,34.0,4.0,302,0,0,68,0,0,334
45.0,40.0,14.0,2.0,29557.0,11137.972043427464,6180.645001137919,1.0,-0.2862426618437853,200,178,14,90.0,80.0,28.0,113.0,40.0,14.0,502,178,14,226.0,80.0,28.0,4.0,302,0,0,68,0,0,335
33.0,55.0,18.0,2.0,31293.0,12873.972043427464,5574.031553607761,1.0,-0.39570354870230373,147,244,18,66.0,110.0,36.0,101.0,55.0,18.0,449,244,18,202.0,110.0,36.0,4.0,302,0,0,68,0,0,336
38.0,60.0,14.0,2.0,34457.0,16037.972043427464,5129.1434882234325,1.0,-0.515366798035954,169,267,14,76.0,120.0,28.0,106.0,60.0,14.0,471,267,14,212.0,120.0,28.0,4.0,302,0,0,68,0,0,337
12.0,47.0,6.0,2.0,29750.0,11330.972043427464,4918.014860628955,2.0,-0.39466812427533987,53,209,6,24.0,94.0,12.0,80.0,47.0,6.0,355,209,6,160.0,94.0,12.0,4.0,302,0,0,68,0,0,338
31.0,16.0,33.0,2.0,26119.0,7699.972043427464,4601.59103055559,4.0,-0.25186888806226043,138,71,33,62.0,32.0,66.0,99.0,16.0,33.0,440,71,33,198.0,32.0,66.0,4.0,302,0,0,68,0,0,339
