,X,Y,Z,S,I_Raw,I_Pro,I_DoG,X_abs_out_px,Y_abs_out_px,Z_abs_out_px,X_ref_out_px,Y_ref_out_px,Z_ref_out_px
79,6.0,48.0,58.0,2.0,35233.0,14059.162813101706,7438.854598062262,6.0,48.0,58.0,0,0,0
80,19.0,65.0,56.0,2.0,33621.0,12447.162813101706,7393.021889693779,19.0,65.0,56.0,0,0,0
81,6.0,26.0,7.0,2.0,37701.0,16527.162813101706,7383.858125844146,6.0,26.0,7.0,0,0,0
82,43.0,20.0,11.0,2.0,40786.0,19612.162813101706,7329.377948296877,43.0,20.0,11.0,0,0,0
83,43.0,33.0,15.0,2.0,40431.0,19257.162813101706,7283.574884562743,43.0,33.0,15.0,0,0,0
84,16.0,53.0,59.0,2.0,42126.0,20952.162813101706,7229.939515631274,16.0,53.0,59.0,0,0,0
85,42.0,32.0,25.0,2.0,34842.0,13668.162813101706,7102.90660293032,42.0,32.0,25.0,0,0,0
86,5.0,41.0,33.0,2.0,36843.0,15669.162813101706,7036.614734790897,5.0,41.0,33.0,0,0,0
87,4.0,37.0,34.0,2.0,39072.0,17898.162813101706,7032.205032378595,4.0,37.0,34.0,0,0,0
88,14.0,6.0,17.0,2.0,51845.0,30671.162813101706,6980.333582949626,14.0,6.0,17.0,0,0,0
89,5.0,29.0,16.0,2.0,34481.0,13307.162813101706,6966.6451503947965,5.0,29.0,16.0,0,0,0
90,39.0,44.0,10.0,2.0,33625.0,12451.162813101706,6962.9956042548665,39.0,44.0,10.0,0,0,0
91,59.0,45.0,20.0,2.0,33497.0,12323.162813101706,6919.917231129731,59.0,45.0,20.0,0,0,0
92,14.0,14.0,11.0,2.0,44496.0,23322.162813101706,6854.24712470251,14.0,14.0,11.0,0,0,0
93,25.0,6.0,20.0,2.0,38421.0,17247.162813101706,6818.105670363281,25.0,6.0,20.0,0,0,0
94,63.0,49.0,10.0,2.0,35365.0,14191.162813101706,6802.7607594613755,63.0,49.0,10.0,0,0,0
95,44.0,44.0,10.0,2.0,33481.0,12307.162813101706,6786.636034896334,44.0,44.0,10.0,0,0,0
96,19.0,16.0,43.0,2.0,38613.0,17439.162813101706,6737.437916448738,19.0,16.0,43.0,0,0,0
97,39.0,49.0,8.0,2.0,33680.0,12506.162813101706,6702.432045917211,39.0,49.0,8.0,0,0,0
98,65.0,13.0,19.0,2.0,34728.0,13554.162813101706,6698.903785447134,65.0,13.0,19.0,0,0,0
99,18.0,32.0,35.0,2.0,39079.0,17905.162813101706,6686.569684345908,18.0,32.0,35.0,0,0,0
100,17.0,54.0,53.0,2.0,35492.0,14318.162813101706,6683.457187999368,17.0,54.0,53.0,0,0,0
101,20.0,13.0,46.0,2.0,36730.0,15556.162813101706,6671.012437559442,20.0,13.0,46.0,0,0,0
102,26.0,64.0,52.0,2.0,32654.0,11480.162813101706,6587.83265734942,26.0,64.0,52.0,0,0,0
103,42.0,22.0,50.0,2.0,31201.0,10027.162813101706,6587.0626134305485,42.0,22.0,50.0,0,0,0
104,65.0,18.0,13.0,2.0,33141.0,11967.162813101706,6551.512167195708,65.0,18.0,13.0,0,0,0
105,60.0,41.0,20.0,2.0,34530.0,13356.162813101706,6517.8148113256475,60.0,41.0,20.0,0,0,0
106,19.0,31.0,40.0,2.0,37009.0,15835.162813101706,6482.859605000513,19.0,31.0,40.0,0,0,0
107,32.0,52.0,31.0,2.0,34139.0,12965.162813101706,6472.707019396565,32.0,52.0,31.0,0,0,0
108,39.0,22.0,20.0,2.0,35547.0,14373.162813101706,6377.675400344198,39.0,22.0,20.0,0,0,0
109,38.0,25.0,17.0,2.0,37202.0,16028.162813101706,6357.051100844296,38.0,25.0,17.0,0,0,0
110,43.0,23.0,20.0,2.0,36331.0,15157.162813101706,6201.738965925279,43.0,23.0,20.0,0,0,0
111,42.0,19.0,20.0,2.0,33362.0,12188.162813101706,6194.511292292805,42.0,19.0,20.0,0,0,0
112,45.0,21.0,17.0,2.0,35011.0,13837.162813101706,6179.914282187121,45.0,21.0,17.0,0,0,0
113,65.0,64.0,60.0,2.0,30394.0,9220.162813101706,6178.885592707232,65.0,64.0,60.0,0,0,0
114,19.0,28.0,39.0,2.0,35320.0,14146.162813101706,6159.44867836879,19.0,28.0,39.0,0,0,0
115,19.0,49.0,11.0,2.0,33704.0,12530.162813101706,6123.4811514269095,19.0,49.0,11.0,0,0,0
